hostname,operator,country,city_or_scope,type,counted,alias_of,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
ntp3.hetzner.de,Hetzner Online,Germany,Germany,server,yes,,public,no,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Known provider endpoint | ÉCART : sert NTS sans le documenter (mesuré 2026-07-12)
time.fu-berlin.de,Freie Universitat Berlin,Germany,Berlin,server,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Historical academic endpoint
zeit.fu-berlin.de,Freie Universitat Berlin,Germany,Berlin,server,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Historical academic endpoint
ntps1-0.cs.tu-berlin.de,TU Berlin,Germany,Berlin,server,yes,,unknown,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Historical stratum-1 endpoint
ntps1-1.cs.tu-berlin.de,TU Berlin,Germany,Berlin,server,yes,,unknown,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,Historical stratum-1 endpoint
asynchronos.iiss.at,IISS,Austria,Austria,server,yes,,unknown,unknown,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,Historical public listing
ntp.atomki.mta.hu,ATOMKI,Hungary,Debrecen,server,yes,,public,unknown,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,Historical public endpoint
ntp.fizyka.umk.pl,Nicolaus Copernicus University,Poland,Torun,server,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Historical academic endpoint
ntp1.usv.ro,Stefan cel Mare University,Romania,Suceava,server,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,Historical public endpoint
ntp3.usv.ro,Stefan cel Mare University,Romania,Suceava,server,yes,,public,unknown,no,error — erreur,,no,no,0/6,0/6,standard,measured-2026-07-31,Historical public endpoint
ntp-galway.hea.net,HEAnet,Ireland,Galway,server,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Historical research-network endpoint
ntp.ripe.net,RIPE NCC,Netherlands,Amsterdam,server,yes,,unknown,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Known historical endpoint; access/status must be checked
ntp.neel.ch,Independent or NEEL,Switzerland,Switzerland,server,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Historical public endpoint
ntp.zeitgitter.net,Zeitgitter / Trifence,Switzerland,Switzerland,managed service alias,yes,,public,yes,no,tls-error — TLS échoue,,no,no,0/6,0/6,standard,measured-2026-07-31,"Known NTS endpoint | ÉCART : annonce NTS, ne le sert pas (mesuré 2026-07-12)"
ntp.trifence.ch,Trifence AG,Switzerland,Switzerland,server,yes,,public,yes,no,tls-error — TLS échoue,,no,no,0/6,0/6,standard,measured-2026-07-31,"Known NTS endpoint | ÉCART : annonce NTS, ne le sert pas (mesuré 2026-07-12)"
time.esa.int,European Space Agency,International,Europe,server,yes,,unknown,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Historical ESA endpoint
time1.esa.int,European Space Agency,International,Europe,alias,no,time.esa.int,unknown,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Alias DNS de time.esa.int (192.171.1.150) — MÊME machine. Exclu des décomptes.
time1.stupi.se,STUPI AB,Sweden,Sweden,server,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Historical public endpoint
timehost.lysator.liu.se,Lysator / Linkoping University,Sweden,Linkoping,server,yes,,public,unknown,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,Historical academic endpoint
chronos.cru.fr,CRU / Universite Rennes 1,France,Rennes,server,yes,,closed,no,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,DNS failure observed 2026-07-12
canon.inria.fr,INRIA,France,Rocquencourt,server,yes,,closed,no,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,DNS failure observed 2026-07-12
ntp-sop.inria.fr,INRIA,France,Sophia Antipolis,server,yes,,closed,no,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,DNS failure observed 2026-07-12
ntp.crashdump.fr,Crashdump,France,Rennes,server,yes,,unknown,unknown,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,DNS failure observed 2026-07-12
ntp.midway.ovh,Independent / OVH hosted,France,Gravelines,server,yes,,unknown,unknown,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,DNS failure observed 2026-07-12
time.resolvlab.com,ResoLv SARL,France,Clermont-Ferrand,server,yes,,unknown,unknown,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,DNS failure observed 2026-07-12
ntp.ilianum.com,SKV Consulting,France,Pontoise,server,yes,,unknown,unknown,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,DNS failure observed 2026-07-12
bevtime1.metrologie.at,BEV (Bundesamt für Eich- und Vermessungswesen),Austria,Vienna,national metrology,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,no,yes,6/6,6/6,standard,measured-2026-07-31,"Stratum 1, refid ATOM. NTS mesuré (ALPN). Pas d'IPv6."
bevtime2.metrologie.at,BEV,Austria,Vienna,national metrology,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,no,yes,6/6,6/6,standard,measured-2026-07-31,Stratum 1. NTS mesuré. Pas d'IPv6.
nts1.roa.es,ROA (Real Observatorio de la Armada),Spain,San Fernando,national metrology,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,no,yes,6/6,6/6,standard,measured-2026-07-31,Endpoint NTS dédié. hora/minuto.roa.es ne font PAS de NTS.
hora.rediris.es,RedIRIS,Spain,Madrid,academic,yes,,restricted,no,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,AAAA publié. Muet en NTP depuis la France (ACL probable).
nts.netnod.se,Netnod,Sweden,Stockholm,national metrology,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Endpoint NTS. Ne répond PAS au NTP en clair (par conception).
sth1.nts.netnod.se,Netnod,Sweden,Stockholm,national metrology,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Endpoint NTS Stockholm. NTP en clair muet.
ntppool1.time.nl,SIDN Labs / TimeNL,Netherlands,Arnhem,national metrology,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Stratum 1 + NTS mesuré. ntp.time.nl ne fait PAS de NTS.
ntp1.npl.co.uk,NPL (National Physical Laboratory),United Kingdom,Teddington,national metrology,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,"Stratum 1 (refid MBGh). Pas de NTS, pas d'IPv6."
ntp1.oma.be,Observatoire royal de Belgique,Belgium,Uccle,national metrology,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 2 seulement. Pas de NTS ni d'IPv6.
ntp2.oma.be,Observatoire royal de Belgique,Belgium,Uccle,national metrology,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,"Stratum 2. IPv6 oui, NTS non."
ntp.justervesenet.no,Justervesenet,Norway,Kjeller,national metrology,yes,,public,no,no,refused — port 4460 fermé,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1. Pas de NTS ni d'IPv6.
ntp02.oal.ul.pt,Observatório Astronómico de Lisboa,Portugal,Lisbon,national metrology,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,partial,0/6,5/6,standard,measured-2026-07-31,Stratum 2 seulement. Pas de NTS ni d'IPv6.
ntp.renater.fr,Renater (réseau académique national),France,Paris,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,"Stratum 1 VIVANT — contrairement aux listes Renater, abandonnées depuis 2007."
ntp.ovh.net,OVHcloud,France,Roubaix,operator,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,"Stratum 2, IPv6. Pas de NTS."
ntp.online.net,Scaleway / Online (Iliad),France,Paris,operator,yes,,public,no,no,refused — port 4460 fermé,3,no,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 3. Pas de NTS ni d'IPv6.
ntp.tuxfamily.org,TuxFamily (associatif),France,Paris,community,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,"Stratum 2, IPv6. Pas de NTS."
ntp.enst.fr,Télécom Paris,France,Palaiseau,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,"Stratum 2, IPv6. Pas de NTS."
ntp.insa-lyon.fr,INSA Lyon,France,Lyon,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,"Stratum 2, IPv6. Pas de NTS."
ntp.univ-lille.fr,Université de Lille,France,Lille,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 2. Pas de NTS ni d'IPv6.
ntp.univ-nantes.fr,Université de Nantes,France,Nantes,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,4,no,yes,0/6,6/6,standard,measured-2026-07-31,"Stratum 3, IPv6. Pas de NTS."
ntp.univ-poitiers.fr,Université de Poitiers,France,Poitiers,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,3,no,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 3. Pas de NTS ni d'IPv6.
ntp-pool.rdem-systems.com,RDEM Systems,France,Paris,pool-alias,no,ntp-10.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Entrée pool load-balancée vers les 12 serveurs RDEM. N'EST PAS un 13e serveur — exclue des décomptes.
nts.teambelgium.net,Team Belgium,Belgium,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
nts1.ntp.hr,UNIZG FER REMLAB,Croatia,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
nts2.ntp.hr,UNIZG FER REMLAB,Croatia,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
time.cincura.net,Jiří Činčura,Czech Republic,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp.miuku.net,miuku.net,Finland,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp1.rdem-systems.com,RDEM Systems,France,,alias,no,ntp-1.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,3,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-1.rdem-systems.com (45.13.156.1) — MÊME machine. Exclu des décomptes.
ntp2.rdem-systems.com,RDEM Systems,France,,alias,no,ntp-2.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,3,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-2.rdem-systems.com (45.13.156.2) — MÊME machine. Exclu des décomptes.
ntp3.rdem-systems.com,RDEM Systems,France,,alias,no,ntp-3.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-3.rdem-systems.com (45.13.156.3) — MÊME machine. Exclu des décomptes.
ntp4.rdem-systems.com,RDEM Systems,France,,alias,no,ntp-4.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-4.rdem-systems.com (45.13.156.4) — MÊME machine. Exclu des décomptes.
ntp5.rdem-systems.com,RDEM Systems,France,,alias,no,ntp-5.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-5.rdem-systems.com (45.13.156.5) — MÊME machine. Exclu des décomptes.
ntp6.rdem-systems.com,RDEM Systems,France,,alias,no,ntp-6.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-6.rdem-systems.com (45.13.156.6) — MÊME machine. Exclu des décomptes.
ntp8.rdem-systems.com,RDEM Systems,France,,alias,no,ntp-8.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,3,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-8.rdem-systems.com (45.13.156.18) — MÊME machine. Exclu des décomptes.
ntp9.rdem-systems.com,RDEM Systems,France,,alias,no,ntp-9.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-9.rdem-systems.com (195.12.227.213) — MÊME machine. Exclu des décomptes.
ntp10.rdem-systems.com,RDEM Systems,France,,alias,no,ntp-10.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-10.rdem-systems.com (185.10.255.61) — MÊME machine. Exclu des décomptes.
ntp11.rdem-systems.com,RDEM Systems,France,,alias,no,ntp-11.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-11.rdem-systems.com (217.26.140.161) — MÊME machine. Exclu des décomptes.
ntp3.fau.de,FAU,Germany,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,no,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp3.ipv6.fau.de,FAU,Germany,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp7.rdem-systems.com,RDEM Systems,Germany,,alias,no,ntp-7.rdem-systems.com,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp-7.rdem-systems.com (51.68.180.82) — MÊME machine. Exclu des décomptes.
www.jabber-germany.de,Jörg Morbitzer,Germany,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
www.masters-of-cloud.de,Jörg Morbitzer,Germany,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,no,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp.nanosrvr.cloud,Michael Byczkowski,Germany,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
1.nts.nothingtohide.nl,Nothing to hide,Netherlands,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
2.nts.nothingtohide.nl,Nothing to hide,Netherlands,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
3.nts.nothingtohide.nl,Nothing to hide,Netherlands,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
4.nts.nothingtohide.nl,Nothing to hide,Netherlands,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntppool2.time.nl,TimeNL,Netherlands,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
nts.decepticon.space,Rick Betting,Netherlands,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
gbg1.nts.netnod.se,Netnod,Sweden,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
gbg2.nts.netnod.se,Netnod,Sweden,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
lul1.nts.netnod.se,Netnod,Sweden,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
lul2.nts.netnod.se,Netnod,Sweden,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
mmo1.nts.netnod.se,Netnod,Sweden,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
mmo2.nts.netnod.se,Netnod,Sweden,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
sth2.nts.netnod.se,Netnod,Sweden,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
svl1.nts.netnod.se,Netnod,Sweden,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
svl2.nts.netnod.se,Netnod,Sweden,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
mirror.mdapi.ch,Martino Dell'Ambrogio,Switzerland,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp.3eck.net,Adrian Zaugg,Switzerland,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp01.maillink.ch,Ueli Heuer,Switzerland,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp02.maillink.ch,Ueli Heuer,Switzerland,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp03.maillink.ch,Ueli Heuer,Switzerland,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
solarium.stellata.ch,stellata.ch,Switzerland,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,no,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
time.signorini.ch,Attilio Signorini,Switzerland,,server,yes,,public,yes,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp2.glypnod.com,Hal Murray,United Kingdom,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp1.dmz.terryburton.co.uk,Terry Burton,United Kingdom,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp2.dmz.terryburton.co.uk,Terry Burton,United Kingdom,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp0.cam.ac.uk,"University of Cambridge, University Information Services (UIS)",United Kingdom,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp1.cam.ac.uk,"University of Cambridge, University Information Services (UIS)",United Kingdom,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp2.cam.ac.uk,"University of Cambridge, Department of Engineering",United Kingdom,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,no,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp3.cam.ac.uk,"University of Cambridge, University Information Services (UIS)",United Kingdom,,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Source : jauderho/nts-servers
ntp.cesnet.cz,CESNET (NREN),Czech Republic,,academic,yes,,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
tik.cesnet.cz,CESNET (NREN),Czech Republic,,alias,no,ntp.cesnet.cz,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp.cesnet.cz (195.113.144.201) — MÊME machine. Exclu des décomptes.
ntp.switch.ch,SWITCH (NREN),Switzerland,,academic,yes,,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),1,yes,yes,0/6,6/6,standard,measured-2026-07-31,"NTS INUTILISABLE SOUS CE NOM : le serveur NTS-KE écoute et négocie l'ALPN, mais son certificat Let's Encrypt est émis pour swice-nts1.switch.ch. Un client conforme (chrony, ntpsec) échoue la validation du nom — la RFC 8915 l'impose. UTILISER swice-nts1.switch.ch À LA PLACE : même service, certificat valide, stratum 1. Erreur d'exploitation, pas absence de NTS."
ntp.funet.fi,Funet / CSC (NREN),Finland,,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp1.funet.fi,Funet / CSC (NREN),Finland,,alias,no,ntp.funet.fi,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,Alias DNS de ntp.funet.fi (193.166.5.177) — MÊME machine. Exclu des décomptes.
ntp2.funet.fi,Funet / CSC (NREN),Finland,,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,
time.mikes.fi,VTT MIKES (institut de métrologie),Finland,,national metrology,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp.uninett.no,Sikt / Uninett (NREN),Norway,,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.uninett.no,Sikt / Uninett (NREN),Norway,,academic,yes,,public,unknown,no,refused — port 4460 fermé,2,yes,partial,0/6,5/6,standard,measured-2026-07-31,
ntp.vsl.nl,VSL (institut de métrologie),Netherlands,,national metrology,yes,,public,unknown,no,refused — port 4460 fermé,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp.grnet.gr,GRNET (NREN),Greece,,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp.litnet.lt,LITNET (NREN),Lithuania,,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
time.windows.com,Microsoft,International,,hyperscaler,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,4,no,yes,0/6,6/6,standard,measured-2026-07-31,
time.aws.com,Amazon Web Services,International,,hyperscaler,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,4,yes,yes,0/6,6/6,standard,measured-2026-07-31,
europe.pool.ntp.org,NTP Pool Project — zone Europe,International,,pool,no,,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),2,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
fr.pool.ntp.org,NTP Pool Project — zone FR,France,,pool,no,,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),1,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
