hostname,operator,country,city_or_scope,type,counted,alias_of,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
time.cloudflare.com,Cloudflare,International,Europe,anycast,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,3,yes,yes,6/6,6/6,standard,measured-2026-07-31,Global service with European PoPs
time.google.com,Google,International,Europe,anycast,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,smear,measured-2026-07-31,Global service with European presence
time1.google.com,Google,International,Europe,alias,no,time.google.com,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,smear,measured-2026-07-31,Alias DNS de time.google.com (216.239.35.0) — MÊME machine. Exclu des décomptes.
time2.google.com,Google,International,Europe,service endpoint,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,smear,measured-2026-07-31,Google Public NTP
time3.google.com,Google,International,Europe,service endpoint,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,smear,measured-2026-07-31,Google Public NTP
time4.google.com,Google,International,Europe,service endpoint,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,smear,measured-2026-07-31,Google Public NTP
time.euro.apple.com,Apple,International,Europe,regional service alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,unknown,measured-2026-07-31,Apple European endpoint
time.facebook.com,Meta,International,Europe,anycast,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,smear,measured-2026-07-31,Global service with European presence
ntp.ubuntu.com,Canonical,United Kingdom,Europe,managed service alias,yes,,public,no,no,refused — port 4460 fermé,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,Ubuntu managed time service
paris.time.system76.com,System76,France,Paris,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ptbtime1.ptb.de,PTB,Germany,Braunschweig,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Official German legal-time service; stratum 1
ptbtime2.ptb.de,PTB,Germany,Braunschweig,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Official German legal-time service; stratum 1
ptbtime3.ptb.de,PTB,Germany,Braunschweig,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Official German legal-time service; stratum 1
