hostname,operator,country,city_or_scope,type,counted,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
ntp.renater.fr,Renater (réseau académique national),France,Paris,academic,yes,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-12,"Stratum 1 VIVANT — contrairement aux listes Renater, abandonnées depuis 2007."
ntp.ovh.net,OVHcloud,France,Roubaix,operator,yes,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,"Stratum 2, IPv6. Pas de NTS."
ntp.online.net,Scaleway / Online (Iliad),France,Paris,operator,yes,public,no,no,refused — port 4460 fermé,3,no,yes,0/6,6/6,standard,measured-2026-07-12,Stratum 3. Pas de NTS ni d'IPv6.
ntp.tuxfamily.org,TuxFamily (associatif),France,Paris,community,yes,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,"Stratum 2, IPv6. Pas de NTS."
ntp.enst.fr,Télécom Paris,France,Palaiseau,academic,yes,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,"Stratum 2, IPv6. Pas de NTS."
ntp.insa-lyon.fr,INSA Lyon,France,Lyon,academic,yes,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,"Stratum 2, IPv6. Pas de NTS."
ntp.univ-lille.fr,Université de Lille,France,Lille,academic,yes,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,Stratum 2. Pas de NTS ni d'IPv6.
ntp.univ-nantes.fr,Université de Nantes,France,Nantes,academic,yes,public,no,no,silent — port 4460 muet — peut être une ACL,3,no,yes,0/6,6/6,standard,measured-2026-07-12,"Stratum 3, IPv6. Pas de NTS."
ntp.univ-poitiers.fr,Université de Poitiers,France,Poitiers,academic,yes,public,no,no,silent — port 4460 muet — peut être une ACL,3,no,yes,0/6,6/6,standard,measured-2026-07-12,Stratum 3. Pas de NTS ni d'IPv6.
ntp-pool.rdem-systems.com,RDEM Systems,France,Paris,pool-alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Entrée pool load-balancée vers les 12 serveurs RDEM. N'EST PAS un 13e serveur — exclue des décomptes.
nts.teambelgium.net,Team Belgium,Belgium,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
nts1.ntp.hr,UNIZG FER REMLAB,Croatia,,server,yes,public,yes,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
nts2.ntp.hr,UNIZG FER REMLAB,Croatia,,server,yes,public,yes,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
