hostname,operator,country,city_or_scope,type,counted,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
de.pool.ntp.org,NTP Pool Project — zone DE,Germany,,pool,no,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),2,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
it.pool.ntp.org,NTP Pool Project — zone IT,Italy,,pool,no,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
pl.pool.ntp.org,NTP Pool Project — zone PL,Poland,,pool,no,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),2,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
fi.pool.ntp.org,NTP Pool Project — zone FI,Finland,,pool,no,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
no.pool.ntp.org,NTP Pool Project — zone NO,Norway,,pool,no,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
pt.pool.ntp.org,NTP Pool Project — zone PT,Portugal,,pool,no,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
ro.pool.ntp.org,NTP Pool Project — zone RO,Romania,,pool,no,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
hu.pool.ntp.org,NTP Pool Project — zone HU,Hungary,,pool,no,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),2,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
ie.pool.ntp.org,NTP Pool Project — zone IE,Ireland,,pool,no,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
cz.pool.ntp.org,NTP Pool Project — zone CZ,Czech Republic,,pool,no,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
hr.pool.ntp.org,NTP Pool Project — zone HR,Croatia,,pool,no,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
ntp.rxtx.dk,RXTX,Denmark,Copenhagen,community,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,Stratum 1 GNSS/PPS; source: Network Time Foundation public-server registry (updated 2026-03-16).
clock1.infonet.ee,Infonet,Estonia,Tallinn,community,yes,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,Stratum 1 GPS/PPS; source: Network Time Foundation public-server registry.
clock2.infonet.ee,Infonet,Estonia,Tallinn,community,yes,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,Stratum 1 GPS/PPS; source: Network Time Foundation public-server registry.
ntp.cert.lv,CERT.LV,Latvia,Latvia,national cybersecurity,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,Official public cluster of stratum 1 and 2 servers; CERT.LV documentation updated 2024-01-12.
ht-time01.isnic.is,ISNIC,Iceland,Reykjavik,alias,no,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,Alias DNS de time0.ntp.is (193.4.58.77) — MÊME machine. Exclu des décomptes.
mh-time01.isnic.is,ISNIC,Iceland,Reykjavik,alias,no,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,Alias DNS de time1.ntp.is (185.93.157.24) — MÊME machine. Exclu des décomptes.
ntp1.arnes.si,ARNES,Slovenia,Ljubljana,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,Official Slovenian NREN endpoint; ARNES documents stratum 1 and IPv4/IPv6.
ntp2.arnes.si,ARNES,Slovenia,Ljubljana,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,Official Slovenian NREN endpoint; ARNES documents stratum 1 and IPv4/IPv6.
1.pool.chrony.eu,chrony.eu,Slovenia,Slovenia,community,yes,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Serveur GNSS/PPS individuel du cluster chrony.eu — PAS une entrée pool à tourniquet DNS.
2.pool.chrony.eu,chrony.eu,Slovenia,Slovenia,community,yes,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Serveur GNSS/PPS individuel du cluster chrony.eu — PAS une entrée pool à tourniquet DNS.
3.pool.chrony.eu,chrony.eu,Slovenia,Slovenia,community,yes,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Serveur GNSS/PPS individuel du cluster chrony.eu — PAS une entrée pool à tourniquet DNS.
4.pool.chrony.eu,chrony.eu,Slovenia,Slovenia,community,yes,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Serveur GNSS/PPS individuel du cluster chrony.eu — PAS une entrée pool à tourniquet DNS.
vreme2.dmdm.rs,DMDM,Serbia,Belgrade,national metrology,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,Endpoint public stratum 2 officiel distribuant UTC(DMDM).
swice-nts1.switch.ch,SWITCH (NREN),Switzerland,Zurich,academic,yes,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,"Endpoint NTS RÉEL du NREN suisse (certificat valide, stratum 1). C'est ce nom qu'il faut configurer — PAS ntp.switch.ch, dont le certificat ne valide pas."
time.dfm.dk,DFM (institut de métrologie danois),Denmark,Copenhagen,national metrology,yes,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,"Stratum 1, NTS, IPv6."
ntp.units.it,Université de Trieste,Italy,Trieste,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,Une des rares sources italiennes ouvertes hors INRiM.
ntp0.fau.de,FAU Erlangen-Nuremberg,Germany,Erlangen,academic,yes,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,no,yes,6/6,6/6,standard,measured-2026-07-12,
rustime01.rus.uni-stuttgart.de,Université de Stuttgart,Germany,Stuttgart,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,
rustime02.rus.uni-stuttgart.de,Université de Stuttgart,Germany,Stuttgart,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,
ntp1.lrz.de,LRZ Munich,Germany,Munich,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,
ntp3.lrz.de,LRZ Munich,Germany,Munich,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,
ntp.rwth-aachen.de,RWTH Aachen,Germany,Aachen,academic,yes,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,
ntp2.rwth-aachen.de,RWTH Aachen,Germany,Aachen,academic,yes,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,
ntp1.gwdg.de,GWDG Göttingen,Germany,Göttingen,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-12,
ntp2.gwdg.de,GWDG Göttingen,Germany,Göttingen,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-12,
ntp.uni-ulm.de,Université d'Ulm,Germany,Ulm,academic,yes,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,
time1.mikes.fi,VTT MIKES,Finland,Espoo,national metrology,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,
time2.mikes.fi,VTT MIKES,Finland,Espoo,national metrology,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,
ntp.heanet.ie,HEAnet (NREN),Ireland,Dublin,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,
chronos.restena.lu,RESTENA (NREN),Luxembourg,Luxembourg,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,
time.restena.lu,RESTENA (NREN),Luxembourg,Luxembourg,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,
ntp2.uninett.no,Sikt / Uninett (NREN),Norway,Trondheim,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,
ntp-public.uit.no,Université de Tromsø,Norway,Tromsø,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-12,
ntp04.oal.ul.pt,Observatoire de Lisbonne,Portugal,Lisbonne,national metrology,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,partial,0/6,5/6,standard,measured-2026-07-12,
swice-nts2.switch.ch,SWITCH (NREN),Switzerland,Zurich,academic,yes,public,unknown,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-12,
chime1.surfnet.nl,SURF (NREN),Netherlands,Utrecht,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-12,
chime2.surfnet.nl,SURF (NREN),Netherlands,Utrecht,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,
chime3.surfnet.nl,SURF (NREN),Netherlands,Utrecht,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,
ntp1.sp.se,RISE (institut de métrologie),Sweden,Borås,national metrology,yes,public,unknown,no,refused — port 4460 fermé,1,no,yes,0/6,6/6,standard,measured-2026-07-12,
ntp2.sp.se,RISE (institut de métrologie),Sweden,Borås,national metrology,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-12,
time0.ntp.is,ISNIC,Iceland,Reykjavik,operator,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,
time1.ntp.is,ISNIC,Iceland,Reykjavik,operator,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,
hercules.eim.gr,EIM (institut de métrologie grec),Greece,Athènes,national metrology,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-12,
ntp01.fccn.pt,FCCN (NREN),Portugal,Lisbonne,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-12,
ntp02.fccn.pt,FCCN (NREN),Portugal,Lisbonne,academic,yes,public,unknown,no,error — erreur,,no,no,0/6,0/6,standard,measured-2026-07-12,
